id,year,active_year,start_year,end_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,iso3,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
,#date+year,,#date+year+start,#date+year+end,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,,#country+code,#region+name,,,#date+start,#date+end,,,,,,#affected+killed,
73892,1992,1,1992,1992,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"R, 1992-05-19",,,,,4,Chittagong Division,Chittagong Division,,22.916667,91.5,POINT (91.500000 22.916667),162544,Bangladesh,771,BGD,Asia,1,1,1992-05-15,1992-05-15,0,0,4,0,4,4,4
73851,1989,1,1989,1989,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters (1989-06-03):  ""BOMBS KILL FOUR AS TRIBAL REBELS TRY TO DISRUPT HILL POLLS"".  AP 1989-06-02: ""Four Killed in Bomb Attacks by Tribal Rebels",,,,officials,2,Langadu town,Chittagong Division,Rangamati District,22.967561,92.134094,POINT (92.134094 22.967561),162545,Bangladesh,771,BGD,Asia,1,1,1989-06-02,1989-06-02,0,0,4,0,4,4,4
73654,1990,1,1990,1990,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,"Reuters (15 March 1990):  ""Separatist tribal rebels killed three soldiers when t…"".",,,,officials,2,Barkal town,Chittagong Division,Rangamati District,22.721581,92.399803,POINT (92.399803 22.721581),162545,Bangladesh,771,BGD,Asia,1,1,1990-03-12,1990-03-12,3,0,0,0,3,3,3
73873,1991,1,1991,1991,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters 1991-03-24:  ""FOUR KILLED AS TRIBAL REBELS ATTACK FERRY"".",,,,police,2,Barkal town,Chittagong Division,Rangamati District,22.721581,92.399803,POINT (92.399803 22.721581),162545,Bangladesh,771,BGD,Asia,1,1,1991-03-24,1991-03-24,0,0,4,0,4,4,4
73870,1991,1,1991,1991,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,Reuters 1991-06-30,,,,officials,3,Khagrachhari District,Chittagong Division,Khagrachhari District,23.16952,91.95316,POINT (91.953160 23.169520),163264,Bangladesh,771,BGD,Asia,1,1,1991-06-29,1991-06-29,0,0,8,0,8,8,8
73874,1991,1,1991,1991,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters (1991-06-30):  ""EIGHT DIE IN SEPARATIST CAMPAIGN IN BANGLADESH HILL TRACTS"".",,,,officials,3,Rangamati District,Chittagong Division,Rangamati District,22.633333,92.2,POINT (92.200000 22.633333),162545,Bangladesh,771,BGD,Asia,1,1,1991-06-29,1991-06-29,0,0,3,0,3,3,3
73875,1991,1,1991,1991,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters (1991-07-23):  ""TRIBAL REBELS KILL SIX SETTLERS IN SOUTHEAST BANGLADESH"".",,,,officials,4,Chittagong Division,Chittagong Division,,22.916667,91.5,POINT (91.500000 22.916667),162544,Bangladesh,771,BGD,Asia,1,1,1991-07-23,1991-07-23,0,0,5,0,5,5,6
73877,1991,1,1991,1991,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters (1991-07-26):  ""SEPARATIST REBELS IN BANGLADESH KILL THREE CHILDREN IN ATTACK"".",,,,officials,1,Kadamtali town,Chittagong Division,Chittagong District,22.459444,92.093611,POINT (92.093611 22.459444),161825,Bangladesh,771,BGD,Asia,1,1,1991-07-26,1991-07-26,0,0,3,0,3,3,3
73445,1991,0,1991,1991,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,-1,"R 10/27/1991 DHAKA UNIVERSITY UNDER CURFEW AFTER FIVE KILLED IN GUNBATTLE.   BBC 10/29 ""Student violence in Dhaka"".",,,,police,1,Dhaka city,Dhaka Division,Dhaka District,23.723056,90.408611,POINT (90.408611 23.723056),163981,Bangladesh,771,BGD,Asia,1,1,1991-10-27,1991-10-27,0,7,0,0,7,7,7
73884,1991,1,1991,1991,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters (1991-11-25):  ""HILL PEOPLE PROTEST ATTROCITIES BY REBELS, URGE SECURITY"".",,,,Officials,3,Rangamati District,Chittagong Division,Rangamati District,22.633333,92.2,POINT (92.200000 22.633333),162545,Bangladesh,771,BGD,Asia,1,3,1991-11-19,1991-11-25,0,0,2,0,2,2,2
